modelo,marca,placa,color,ano,kilometraje,rentado,motor,precio_renta,ced_cliente,fecha_de_entrega
164,Alfa Romeo,603378,Teal,1992,251641,1,I4,43706,14207558,16/08/2020
S4,Audi,984951,Goldenrod,2010,150346,1,I4,11284,31065043,07/05/2018
SL-Class,Mercedes-Benz,443332,Maroon,1984,252181,0,V6,38232,32970315,07/06/2018
S8,Audi,277218,Pink,2007,189790,0,I6,13026,18032564,09/02/2021
Savana 1500,GMC,559591,Blue,2000,28689,0,V6,30882,8946105,27/02/2018
Express,Chevrolet,361374,Teal,2011,86988,1,V6,34182,34571751,26/04/2017
Titan,Nissan,725921,Red,2004,94049,0,V8,34456,22313238,23/11/2021
Torrent,Pontiac,803492,Yellow,2008,177425,1,I6,49551,28353194,01/09/2018
Diablo,Lamborghini,338165,Green,1993,236542,0,I3,31246,18686606,16/12/2021
RVR,Mitsubishi,367584,Puce,1994,262409,1,I4,36628,29958272,18/08/2016
3500 Club Coupe,GMC,108815,Blue,1994,166601,1,I4,47221,18301330,01/04/2017
Wrangler,Jeep,852564,Aquamarine,2005,316,0,I6,28146,34646791,23/08/2020
TT,Audi,405690,Purple,2002,212770,1,I6,45330,5536864,29/01/2022
200SX,Nissan,755361,Purple,1998,66368,1,V6,30878,10712253,10/10/2022
XG350,Hyundai,108337,Red,2003,290776,0,I6,27601,21297728,23/11/2017
S40,Volvo,347929,Purple,2002,225711,0,V6,13756,16515382,09/08/2019
Phantom,Rolls-Royce,394657,Teal,2012,40292,0,I3,20053,7201910,13/07/2024
LeSabre,Buick,726383,Violet,2003,151858,1,V12,11690,17415006,18/10/2015
G3,Pontiac,418365,Red,2010,124089,1,I4,31155,33086404,13/01/2017
Camaro,Chevrolet,381836,Maroon,1971,139262,0,I3,24867,28730681,10/06/2016
4Runner,Toyota,841275,Indigo,1995,118595,0,V6,25285,6771494,23/06/2020
CTS,Cadillac,903562,Puce,2005,78112,0,I3,39157,32616926,11/04/2015
Exige,Lotus,443938,Goldenrod,2012,196156,1,I4,49228,26377317,03/11/2022
Mirage,Mitsubishi,958149,Purple,1986,123103,0,V12,36454,16810414,01/04/2015
Sierra 1500,GMC,303411,Maroon,2011,239060,0,V12,11378,28532281,08/05/2023
